Model,Accuracy,Precision,Recall,F1-Score,Test_Loss
Custom CNN,0.6447478406241293,0.610992342121207,0.6426561568091803,0.6190937261939142,0.9696720838546753
VGG16,0.4951239899693508,0.46050001006823615,0.5081787621549927,0.46614279851876245,1.3542386293411255
ResNet50,0.32808581777653945,0.28255021907464345,0.31171506334086535,0.26800128517209737,1.7091306447982788
